vertexes,edges,density,time
96,2736,0.3,41.42373623333052
97,2793,0.3,43.08213896666757
98,2851,0.3,44.56128186666982
99,2910,0.3,45.721252799998524
100,2970,0.3,47.72108339999951
1,0,0.35,0.0007681666659209441
2,0,0.35,0.0011764666661899053
3,2,0.35,0.002245733331089165
4,4,0.35,0.004484833333625223
5,7,0.35,0.007166633334539559
6,10,0.35,0.01343763333162921
7,14,0.35,0.019958366667083283
8,19,0.35,0.028983199999288445
9,25,0.35,0.03930280000095839
10,31,0.35,0.05486953333691721
11,38,0.35,0.07383336667032836
12,46,0.35,0.09613610000087647
13,54,0.35,0.12092650000283811
14,63,0.35,0.1475235999995069
15,73,0.35,0.18284589999666423
16,84,0.35,0.22139580000081574
17,95,0.35,0.2636639666652248
18,107,0.35,0.3172027333315934
19,119,0.35,0.37252369999976054
20,133,0.35,0.43231526666716036
21,147,0.35,0.5003124333323209
22,161,0.35,0.5782888333328629
23,177,0.35,0.6479695333344656
24,193,0.35,0.7299665666636201
25,210,0.35,1.038706866666909
26,227,0.35,1.2309679666685724
27,245,0.35,1.5066193666645706
28,264,0.35,1.5783568666667709
29,284,0.35,1.6625985000009298
30,304,0.35,1.4447236999984625
31,325,0.35,1.5642832999996397
32,347,0.35,1.7391124666649678
33,369,0.35,1.8992624666689533
34,392,0.35,2.1018555666671546
35,416,0.35,2.2830138999997494
36,441,0.35,2.489302766668781
37,466,0.35,2.696845866669643
38,492,0.35,2.879204233333136
39,518,0.35,3.138951233335282
40,546,0.35,3.464040333333666
41,574,0.35,3.7152347000017016
42,602,0.35,3.8832721333316536
43,632,0.35,4.19028066666461
44,662,0.35,4.5276680333320956
45,693,0.35,4.808118033332676
46,724,0.35,5.201405533334007
47,756,0.35,5.517293033332749
48,789,0.35,5.792513799999218
49,823,0.35,6.243154166668319
50,857,0.35,6.629568100000445
51,892,0.35,6.9830762333358125
52,928,0.35,7.41625980000246
53,964,0.35,7.8571610333350845
54,1001,0.35,8.354656966665175
55,1039,0.35,8.925916633335381
56,1078,0.35,9.344151433335432
57,1117,0.35,9.883791733337452
58,1157,0.35,10.464458399998952
59,1197,0.35,10.926634766666629
60,1239,0.35,11.423388999997997
61,1281,0.35,12.039659766665523
62,1323,0.35,12.693538933334025
63,1367,0.35,13.262704233335398
64,1411,0.35,14.063069466664993
65,1456,0.35,14.699859733330337
66,1501,0.35,15.37579443333262
67,1547,0.35,16.104080466667863
68,1594,0.35,16.993184633332703
69,1642,0.35,17.720042933334906
70,1690,0.35,18.44355289999271
71,1739,0.35,19.40311253333107
72,1789,0.35,20.106152733336558
73,1839,0.35,21.18275280000148
74,1890,0.35,21.75537226666317
75,1942,0.35,22.705652866665105
76,1994,0.35,23.777748499994306
77,2048,0.35,24.721488899998196
78,2102,0.35,26.264908400005044
79,2156,0.35,27.12228190000019
80,2212,0.35,28.013565299998316
81,2268,0.35,29.22787920000663
82,2324,0.35,30.058945833330124
83,2382,0.35,31.348324999993338
84,2440,0.35,33.052798499990864
85,2499,0.35,34.640830533328426
86,2558,0.35,35.16728470000127
87,2618,0.35,36.50308490000119
88,2679,0.35,37.703150066668435
89,2741,0.35,38.834211099996686
90,2803,0.35,40.44300696666975
91,2866,0.35,41.87063750000183
92,2930,0.35,43.142094433337284
93,2994,0.35,44.5907792333306
94,3059,0.35,46.00655006666633
95,3125,0.35,47.728424966669536
96,3192,0.35,49.17086663333142
97,3259,0.35,50.589029233337136
98,3327,0.35,52.521855733330845
99,3395,0.35,54.14588199999457
100,3465,0.35,55.71333616666531
1,0,0.4,0.0007805333382293611
2,0,0.4,0.0012346999994861108
3,2,0.4,0.0025430000012723517
4,4,0.4,0.004643066654352879
5,8,0.4,0.008381899995886974
6,12,0.4,0.01336666667081469
7,16,0.4,0.02202073333516334
8,22,0.4,0.03123193333370485
9,28,0.4,0.04525416666562402
10,36,0.4,0.06207779999461612
11,44,0.4,0.08162909999972119
12,52,0.4,0.10654436666944396
13,62,0.4,0.13804586666689525
14,72,0.4,0.1698415999972743
15,84,0.4,0.20990829999429175
16,96,0.4,0.25390429999182135
17,108,0.4,0.30981540000235935
18,122,0.4,0.3650014333288709
19,136,0.4,0.4157959333421483
20,152,0.4,0.493484799989119
21,168,0.4,0.5733055666667042
22,184,0.4,0.6501403333307584
23,202,0.4,0.7475707333336837
24,220,0.4,0.8400764666665358
25,240,0.4,0.9484374666669737
26,260,0.4,1.0592846333281614
27,280,0.4,1.192900033333899
28,302,0.4,1.3085500333318123
29,324,0.4,1.4885194333354927
30,348,0.4,1.6258167666630168
31,372,0.4,1.7900249666695345
32,396,0.4,1.9787471999999677
33,422,0.4,2.1546389666677137
34,448,0.4,2.3793305999959102
35,476,0.4,2.622855499995088
36,504,0.4,2.8540638666640916
37,532,0.4,3.113026266665505
38,562,0.4,3.326747166659061
39,592,0.4,3.6180277333338986
40,624,0.4,3.8840874333421502
41,656,0.4,4.1641804666672515
42,688,0.4,4.453605533340503
43,722,0.4,4.751593133331274
44,756,0.4,5.083987466662165
45,792,0.4,5.472588833328018
46,828,0.4,5.86279856667223
47,864,0.4,6.29342770000297
48,902,0.4,6.68861806666617
49,940,0.4,7.120488933329246
50,980,0.4,7.6078263999932005
51,1020,0.4,8.052418066663828
52,1060,0.4,8.498413899995208
53,1102,0.4,9.052445899999384
54,1144,0.4,9.557333366670187
55,1188,0.4,10.010729099995311
56,1232,0.4,10.661556799999516
57,1276,0.4,11.279641633336723
58,1322,0.4,11.949530666669261
59,1368,0.4,12.628409800006088
60,1416,0.4,13.281170900000916
61,1464,0.4,13.879759766659086
62,1512,0.4,14.436112600011105
63,1562,0.4,15.335783433336777
64,1612,0.4,16.096559766666967
65,1664,0.4,16.78896660000267
66,1716,0.4,17.613166599998447
67,1768,0.4,18.519779266661846
68,1822,0.4,19.442965266667517
69,1876,0.4,20.230869466666945
70,1932,0.4,21.23664443333458
71,1988,0.4,22.2305125000067
72,2044,0.4,22.966670833333563
73,2102,0.4,24.212745866663
74,2160,0.4,25.218426333333355
75,2220,0.4,26.24165406667392
76,2280,0.4,27.26908763333616
77,2340,0.4,28.238706866665098
78,2402,0.4,29.61672503333072
79,2464,0.4,30.667415200004672
80,2528,0.4,31.904893033337583
81,2592,0.4,33.15946103333355
82,2656,0.4,34.58560270000438
83,2722,0.4,35.774191700003634
84,2788,0.4,37.01399030000516
85,2856,0.4,38.34162909999274
86,2924,0.4,39.813252833329216
87,2992,0.4,41.71661093333038
88,3062,0.4,42.9596541999994
89,3132,0.4,44.75062913333735
90,3204,0.4,46.02024443332956
91,3276,0.4,47.31067210000219
92,3348,0.4,49.51088616667031
93,3422,0.4,51.18266806666725
94,3496,0.4,52.883676533328604
95,3572,0.4,54.32971949998849
96,3648,0.4,56.69052776665732
