vertexes,edges,density,time
14,54,0.3,0.45339576665810455
15,63,0.3,0.5554112000102881
16,72,0.3,0.6772706999981892
17,81,0.3,0.7957902999957392
18,91,0.3,0.9478291000126168
19,102,0.3,1.1093111000036515
20,114,0.3,1.2787735666582496
21,126,0.3,1.4717195000002903
22,138,0.3,1.7079153000092144
23,151,0.3,1.929333266654491
24,165,0.3,2.1681096666801145
25,180,0.3,2.4599597333084
26,195,0.3,2.8084541000074146
27,210,0.3,3.0662555666746507
28,226,0.3,3.44786523332156
29,243,0.3,3.798770933326523
30,261,0.3,4.2117846666769765
31,279,0.3,4.696323466699444
32,297,0.3,5.077034700010093
33,316,0.3,5.595938933341434
34,336,0.3,6.104430400000638
35,357,0.3,6.652869333318752
36,378,0.3,7.199177866656707
37,399,0.3,7.797661033335619
38,421,0.3,8.458231866635893
39,444,0.3,9.126525099994373
40,468,0.3,9.768176499990963
41,492,0.3,10.62498336666522
42,516,0.3,11.331559866660731
43,541,0.3,12.141266733336428
44,567,0.3,13.012547100023161
45,594,0.3,13.833777666642769
46,621,0.3,14.877130566681748
47,648,0.3,15.789469466691722
48,676,0.3,16.859315266689617
49,705,0.3,17.823526466675805
50,735,0.3,19.08948066663167
51,765,0.3,20.17835546666144
52,795,0.3,21.49772360000952
53,826,0.3,22.826254200026597
54,858,0.3,23.900655566679536
55,891,0.3,25.251415299968965
56,924,0.3,26.61555423342179
57,957,0.3,28.03286673333787
58,991,0.3,29.54714020006577
59,1026,0.3,31.08401663331885
60,1062,0.3,32.7211013333302
61,1098,0.3,34.28501793337091
62,1134,0.3,36.06711383337521
63,1171,0.3,37.782377799961374
64,1209,0.3,39.50632636668464
65,1248,0.3,41.66273059992515
66,1287,0.3,43.42801673328722
67,1326,0.3,45.46786816669434
68,1366,0.3,47.72099176663384
69,1407,0.3,50.475775000025656
70,1449,0.3,52.98755133329299
71,1491,0.3,54.00723466668751
72,1533,0.3,57.24379853336359
73,1576,0.3,58.76392639994871
74,1620,0.3,62.670234733347264
75,1665,0.3,67.35367633336864
76,1710,0.3,66.86283466662341
77,1755,0.3,70.21842363339299
78,1801,0.3,71.8960403334222
79,1848,0.3,74.27489859995451
80,1896,0.3,77.61579306664619
81,1944,0.3,80.78992633334867
82,1992,0.3,83.37154723332485
83,2041,0.3,86.60166253333348
84,2091,0.3,89.78459869998308
85,2142,0.3,93.05485146666494
86,2193,0.3,96.6001596665592
87,2244,0.3,100.20715830002398
88,2296,0.3,103.66923616667616
89,2349,0.3,109.99719726666324
90,2403,0.3,109.9425777666814
91,2457,0.3,113.96683346662637
92,2511,0.3,118.29169716664485
93,2566,0.3,122.55580409998099
94,2622,0.3,125.66382080005194
95,2679,0.3,130.12299306662194
96,2736,0.3,134.4686722999692
97,2793,0.3,138.71422923328586
98,2851,0.3,142.71190689998244
99,2910,0.3,147.28318879998974
100,2970,0.3,152.3788626333347
1,0,0.35,0.001782066677454471
2,0,0.35,0.003040233362601915
3,2,0.35,0.006480566662503406
4,4,0.35,0.01381110002209122
5,7,0.35,0.024213833315419226
6,10,0.35,0.04222233333166514
7,14,0.35,0.06670556658718851
8,19,0.35,0.09324306671866604
9,25,0.35,0.13157363335570457
10,31,0.35,0.17824856663537503
11,38,0.35,0.24018473336582247
12,46,0.35,0.2994792333386916
13,54,0.35,0.3796319999764819
14,63,0.35,0.4714471666375175
15,73,0.35,0.5763110666218078
16,84,0.35,0.703238966692273
17,95,0.35,0.8347639666377896
18,107,0.35,0.9917179999774817
19,119,0.35,1.1683570333540654
20,133,0.35,1.342662499958654
21,147,0.35,1.5399375333345233
22,161,0.35,1.7770290333222267
23,177,0.35,1.9917096666783134
24,193,0.35,2.27481256667185
25,210,0.35,2.5407792666707487
26,227,0.35,2.8713959000015166
27,245,0.35,3.2237402667154433
28,264,0.35,3.578216533333034
29,284,0.35,3.9462140333398565
30,304,0.35,4.378241599958225
31,325,0.35,4.809339033348199
32,347,0.35,5.292079133353885
33,369,0.35,5.820783300002101
34,392,0.35,6.366656899975472
35,416,0.35,6.896408466642849
36,441,0.35,7.498534700046851
37,466,0.35,8.146800033334026
38,492,0.35,8.816784766668206
39,518,0.35,9.885405633349365
40,546,0.35,10.281456933338026
41,574,0.35,11.117597133306845
42,602,0.35,11.897579166664704
43,632,0.35,12.744076400061507
44,662,0.35,13.752497233402513
45,693,0.35,14.57374996660595
46,724,0.35,15.781052733306447
47,756,0.35,16.69036813332241
48,789,0.35,17.830204166618085
49,823,0.35,18.976172233336303
50,857,0.35,20.250373733339682
51,892,0.35,21.34058193329717
52,928,0.35,22.49857086673425
53,964,0.35,23.759702733347392
54,1001,0.35,25.168154133340675
55,1039,0.35,26.76731113332001
56,1078,0.35,28.137423500038494
57,1117,0.35,29.582237499956438
58,1157,0.35,31.081394433310077
59,1197,0.35,32.915651433298386
60,1239,0.35,34.27705416667474
61,1281,0.35,36.2336166666258
62,1323,0.35,38.25761106668324
63,1367,0.35,39.83772233330759
64,1411,0.35,41.61373470001308
65,1456,0.35,43.67250419997314
66,1501,0.35,46.92361523336027
67,1547,0.35,48.106873633332725
68,1594,0.35,50.72857776664629
69,1642,0.35,52.25780830005533
70,1690,0.35,55.241920733351435
71,1739,0.35,59.908681866621315
72,1789,0.35,59.3297304667279
73,1839,0.35,61.98330966661464
74,1890,0.35,64.6156069333756
75,1942,0.35,67.0402097666738
76,1994,0.35,69.97196679996402
77,2048,0.35,72.91349309995591
78,2102,0.35,75.55541680000412
79,2156,0.35,78.45417363332672
80,2212,0.35,82.23565003328683
81,2268,0.35,85.11381946667218
82,2324,0.35,88.32155840006332
83,2382,0.35,91.28218896667022
84,2440,0.35,94.44662226663543
85,2499,0.35,98.15626383333438
86,2558,0.35,101.41029853328594
87,2618,0.35,105.12836109996897
88,2679,0.35,108.33300406672303
89,2741,0.35,116.06242506668423
90,2803,0.35,118.02836666673404
91,2866,0.35,119.98720990003069
92,2930,0.35,124.15830410001642
93,2994,0.35,128.73314023334692
94,3059,0.35,132.9723528999542
95,3125,0.35,136.6368304666139
96,3192,0.35,142.01978196671612
97,3259,0.35,155.05294726658576
98,3327,0.35,160.6361749666727
99,3395,0.35,167.09164306666935
100,3465,0.35,160.21134440000728
1,0,0.4,0.0011221000174070166
2,0,0.4,0.0029625666684296448
3,2,0.4,0.007044400020580118
4,4,0.4,0.014520900064477852
5,8,0.4,0.025230666642528377
6,12,0.4,0.043129133352219164
7,16,0.4,0.06717353335261578
8,22,0.4,0.09915550002309222
9,28,0.4,0.14095830001679133
10,36,0.4,0.18639569998413208
11,44,0.4,0.24476526667361517
12,52,0.4,0.31274589994912577
13,62,0.4,0.4020234999643435
14,72,0.4,0.4932805999942502
15,84,0.4,0.6021403999966424
16,96,0.4,0.7282653333580432
17,108,0.4,0.877058333359552
18,122,0.4,1.0301804666293417
19,136,0.4,1.2022945000353502
20,152,0.4,1.3987568666683121
21,168,0.4,1.6150319333367709
22,184,0.4,1.8428292332828278
23,202,0.4,2.107409800055393
24,220,0.4,2.3837527666425253
25,240,0.4,2.682734600026985
26,260,0.4,3.014881966661657
27,280,0.4,3.369009600010031
28,302,0.4,3.7663890333533345
29,324,0.4,4.195273566741283
30,348,0.4,4.590286100028607
31,372,0.4,5.060436099999303
32,396,0.4,5.549843000047379
33,422,0.4,6.085236099973675
34,448,0.4,6.663872233366419
35,476,0.4,7.257713900041078
36,504,0.4,7.926780533322623
37,532,0.4,8.522309600008763
38,562,0.4,9.294906966670169
39,592,0.4,10.078369499948773
40,624,0.4,10.727968133384516
41,656,0.4,11.59225970004627
42,688,0.4,12.490055600028427
43,722,0.4,13.359168033305954
44,756,0.4,14.357200066676038
45,792,0.4,15.340807000014442
46,828,0.4,16.29520003334619
47,864,0.4,17.415672233361573
48,902,0.4,18.600031866632587
49,940,0.4,19.79513740003919
50,980,0.4,21.005965100054407
51,1020,0.4,22.243386100005107
52,1060,0.4,23.64359023329901
53,1102,0.4,25.017777833363652
54,1144,0.4,26.42213883336808
55,1188,0.4,27.88746250002987
56,1232,0.4,29.48036530005993
57,1276,0.4,31.19891113333324
58,1322,0.4,32.871888899990154
59,1368,0.4,34.65909579996757
60,1416,0.4,36.27541933333305
61,1464,0.4,38.22318330000295
62,1512,0.4,40.11278206668673
63,1562,0.4,41.97064160004326
64,1612,0.4,44.097327799984974
65,1664,0.4,46.12538056661227
66,1716,0.4,48.15856946665917
67,1768,0.4,50.84428896673975
68,1822,0.4,52.67644590000297
69,1876,0.4,54.68562906665587
70,1932,0.4,57.202795833336495
71,1988,0.4,60.21528750003805
72,2044,0.4,62.68701673326783
73,2102,0.4,65.01802086666733
74,2160,0.4,67.55947779997769
75,2220,0.4,70.77342776671382
76,2280,0.4,73.47670130005402
77,2340,0.4,76.122093100048
78,2402,0.4,79.24897910006621
79,2464,0.4,82.50678043336848
80,2528,0.4,85.3555027999846
81,2592,0.4,88.70765839995632
82,2656,0.4,92.70341240004807
83,2722,0.4,95.52679439996912
84,2788,0.4,99.23494449999453
85,2856,0.4,102.48167640003582
86,2924,0.4,106.16885279998012
87,2992,0.4,109.96704589997535
88,3062,0.4,114.11456680001113
89,3132,0.4,117.24772786671262
90,3204,0.4,121.96817213333209
91,3276,0.4,126.31692783331043
92,3348,0.4,129.87593189999038
93,3422,0.4,134.3158513999697
94,3496,0.4,138.80195143331852
95,3572,0.4,143.17857080000067
96,3648,0.4,147.34517223335692
97,3724,0.4,152.09659580000334
98,3802,0.4,156.63850843337363
99,3880,0.4,161.84708186671438
100,3960,0.4,170.6311375999879
1,0,0.45,0.001411099947290495
2,0,0.45,0.0029958999675727682
3,2,0.45,0.007404166672131396
4,5,0.45,0.015377866687534455
5,9,0.45,0.02767216668265367
6,13,0.45,0.046026333363139806
7,18,0.45,0.0708291000440416
8,25,0.45,0.10145543325658461
9,32,0.45,0.14389999999669575
10,40,0.45,0.19325560000046002
11,49,0.45,0.25894576665450586
12,59,0.45,0.3313375332860839
13,70,0.45,0.41179159999652865
14,81,0.45,0.5158208000011655
15,94,0.45,0.6376917333758078
16,108,0.45,0.7597109332891705
