vertexes,density,time,probability,result
39,0.35,3.1266805666666877,0,0.0
40,0.35,3.3631319333335816,0,0.0
41,0.35,3.6112012666670523,0,0.0
42,0.35,3.8541109999998233,0,0.0
43,0.35,4.193786199999749,0,0.0
44,0.35,4.4552097000005135,0,0.0
45,0.35,4.75767773333331,0,0.0
46,0.35,5.135483366666686,0,0.0
47,0.35,5.423945766666449,0,0.0
48,0.35,5.793813933333307,0,0.0
49,0.35,6.229883266666884,0,0.0
50,0.35,6.580909733333584,0,0.0
1,0.4,0.0006444666669362201,0,0.0
2,0.4,0.0012570666664638945,0,0.0
3,0.4,0.0024722333327768333,0,0.0
4,0.4,0.00479579999984973,0,0.0
5,0.4,0.008169466666766803,0,0.0
6,0.4,0.01519433333356801,0,0.0
7,0.4,0.02218323333333198,0,0.0
8,0.4,0.03276520000040269,0,0.0
9,0.4,0.04466950000031981,0,0.0
10,0.4,0.06096116666671018,0,0.0
11,0.4,0.08280416666662423,0,0.0
12,0.4,0.10842636666647347,0,0.0
13,0.4,0.13437503333276388,0,0.0
14,0.4,0.1669569333331585,0,0.0
15,0.4,0.20808459999971754,0,0.0
16,0.4,0.25041103333300896,0,0.0
17,0.4,0.2947429666666797,0,0.0
18,0.4,0.3543389333331722,0,0.0
19,0.4,0.41067223333328684,0,0.0
20,0.4,0.48029716666668776,0,0.0
21,0.4,0.5581763999999841,0,0.0
22,0.4,0.6449652666660199,0,0.0
23,0.4,0.7305888999998918,0,0.0
24,0.4,0.8388124999999746,0,0.0
25,0.4,0.9411000000000058,0,0.0
26,0.4,1.0309915666670832,0,0.0
27,0.4,1.193302799999903,0,0.0
28,0.4,1.3116125000002181,0,0.0
29,0.4,1.461541666666714,0,0.0
30,0.4,1.6078054666665527,0,0.0
31,0.4,1.7619513666668734,0,0.0
32,0.4,1.9779167000002928,0,0.0
33,0.4,2.166377833333044,0,0.0
34,0.4,2.35693183333332,0,0.0
35,0.4,2.5673527999999854,0,0.0
36,0.4,2.7727111666663973,0,0.0
37,0.4,3.0070012666665016,0,0.0
38,0.4,3.3051319666667447,0,0.0
39,0.4,3.512590299999966,0,0.0
40,0.4,3.82197363333295,0,0.0
41,0.4,4.100487500000109,0,0.0
42,0.4,4.377791500000565,0,0.0
43,0.4,4.749110999999691,0,0.0
44,0.4,5.076416633333499,0,0.0
45,0.4,5.430197233332971,0,0.0
46,0.4,5.773277833333405,0,0.0
47,0.4,6.180015333333226,0,0.0
48,0.4,6.584297266666776,0,0.0
49,0.4,7.043495966666787,0,0.0
50,0.4,7.418122233333098,0,0.0
1,0.45,0.0006291333338737104,0,0.0
2,0.45,0.0012805333328221498,0,0.0
3,0.45,0.0025221666666889555,0,0.0
4,0.45,0.005387566666688788,0,0.0
5,0.45,0.009348633333298531,0,0.0
6,0.45,0.015958333333424928,0,0.0
7,0.45,0.024429133333351654,0,0.0
8,0.45,0.036169333333309815,0,0.0
9,0.45,0.04945699999936437,0,0.0
10,0.45,0.06859850000040524,0,0.0
11,0.45,0.09040566666686327,0,0.0
12,0.45,0.12129849999986675,0,0.0
13,0.45,0.15176393333303415,0,0.0
14,0.45,0.18551399999952403,0,0.0
15,0.45,0.22907086666658452,0,0.0
16,0.45,0.2807710000001388,0,0.0
17,0.45,0.3367026333338667,0,0.0
18,0.45,0.39962226666633666,0,0.0
19,0.45,0.46081239999971046,0,0.0
20,0.45,0.5527778333333325,0,0.0
21,0.45,0.6200681000001632,0,0.0
22,0.45,0.7136793333334168,0,0.0
23,0.45,0.8294429333331502,0,0.0
24,0.45,0.9266485333334629,0,0.0
25,0.45,1.0458208000001672,0,0.0
26,0.45,1.179127833333619,0,0.0
27,0.45,1.3265401666663716,0,0.0
28,0.45,1.4873596333334405,0,0.0
29,0.45,1.6451470999995148,0,0.0
30,0.45,1.809477700000291,0,0.0
31,0.45,2.0106375666665364,0,0.0
32,0.45,2.1753167333330956,0,0.0
33,0.45,2.4461679666663607,0,0.0
34,0.45,2.6381111999996896,0,0.0
35,0.45,2.860081966666783,0,0.0
36,0.45,3.126601499999637,0,0.0
37,0.45,3.38035286666738,0,0.0
38,0.45,3.6730305999999047,0,0.0
39,0.45,3.96630003333307,0,0.0
40,0.45,4.292536066666604,0,0.0
41,0.45,4.6251666000008145,0,0.0
42,0.45,4.959744433332958,0,0.0
43,0.45,5.317863933333437,0,0.0
44,0.45,5.68771529999997,0,0.0
45,0.45,6.179666633332677,0,0.0
46,0.45,6.487377766666451,0,0.0
47,0.45,6.936795766666393,0,0.0
48,0.45,7.446287500000182,0,0.0
49,0.45,7.873454233332922,0,0.0
50,0.45,8.363627833333235,0,0.0
1,0.5,0.0006638666666466028,0,0.0
2,0.5,0.001374866666736807,0,0.0
3,0.5,0.0026360666664023333,0,0.0
4,0.5,0.005786100000430376,0,0.0
5,0.5,0.009559766666929667,0,0.0
6,0.5,0.018097166666800984,0,0.0
7,0.5,0.026305400000363004,0,0.0
8,0.5,0.040644366667900535,0,0.0
9,0.5,0.055826366666404205,0,0.0
10,0.5,0.07418746666753388,0,0.0
11,0.5,0.10043336666688181,0,0.0
12,0.5,0.1309221000002007,0,0.0
13,0.5,0.16296383333340714,0,0.0
14,0.5,0.20921816666614745,0,0.0
15,0.5,0.25495146666708973,0,0.0
16,0.5,0.3079692999994184,0,0.0
17,0.5,0.36992080000004535,0,0.0
18,0.5,0.44005266666644616,0,0.0
19,0.5,0.5076195000012736,0,0.0
20,0.5,0.5991861666672094,0,0.0
21,0.5,0.6856180666666489,0,0.0
22,0.5,0.7886680000003329,0,0.0
23,0.5,0.8922680000002478,0,0.0
24,0.5,1.027948600000883,0,0.0
25,0.5,1.1504361666666796,0,0.0
26,0.5,1.3105015333332897,0,0.0
27,0.5,1.4655832999999063,0,0.0
28,0.5,1.6430486666666393,0,0.0
29,0.5,1.791597166667221,0,0.0
30,0.5,1.9942318999999504,0,0.0
31,0.5,2.1946444666670097,0,0.0
32,0.5,2.4389263999999855,0,0.0
33,0.5,2.6671153999996497,0,0.0
